name,team,position,position_group,year,draft_control
Don Shula,Dolphins,Head Coach/Player Personnel,Head Coach/Executive,1995,0
Wayne Huizenga,Dolphins,Principal Owner,Owner,1995,0
Eddie Jones,Dolphins,General Manager,General Manager,1996,1
Jimmy Johnson,Dolphins,Head Coach/Player Personnel,Head Coach/Executive,1996,0
Wayne Huizenga,Dolphins,Principal Owner,Owner,1996,0
Eddie Jones,Dolphins,General Manager,General Manager,1997,1
Jimmy Johnson,Dolphins,Head Coach/Player Personnel,Head Coach/Executive,1997,0
Wayne Huizenga,Dolphins,Principal Owner,Owner,1997,0
Eddie Jones,Dolphins,General Manager,General Manager,1998,1
Jimmy Johnson,Dolphins,Head Coach/Player Personnel,Head Coach/Executive,1998,0
Wayne Huizenga,Dolphins,Principal Owner,Owner,1998,0
Eddie Jones,Dolphins,General Manager,General Manager,1999,1
Jimmy Johnson,Dolphins,Head Coach/Player Personnel,Head Coach/Executive,1999,0
Wayne Huizenga,Dolphins,Principal Owner,Owner,1999,0
Eddie Jones,Dolphins,General Manager,General Manager,2000,1
Dave Wannstedt,Dolphins,Head Coach/Player Personnel,Head Coach/Executive,2000,0
Wayne Huizenga,Dolphins,Principal Owner,Owner,2000,0
Eddie Jones,Dolphins,General Manager,General Manager,2001,1
Dave Wannstedt,Dolphins,Head Coach/Player Personnel,Head Coach/Executive,2001,0
Wayne Huizenga,Dolphins,Principal Owner,Owner,2001,0
Eddie Jones,Dolphins,General Manager,General Manager,2002,1
Dave Wannstedt,Dolphins,Head Coach/Player Personnel,Head Coach/Executive,2002,0
Wayne Huizenga,Dolphins,Principal Owner,Owner,2002,0
Eddie Jones,Dolphins,General Manager,General Manager,2003,1
Dave Wannstedt,Dolphins,Head Coach/Player Personnel,Head Coach/Executive,2003,0
Wayne Huizenga,Dolphins,Principal Owner,Owner,2003,0
Eddie Jones,Dolphins,General Manager,General Manager,2004,1
Wayne Huizenga,Dolphins,Principal Owner,Owner,2004,0
Randy Mueller,Dolphins,General Manager,General Manager,2005,1
Wayne Huizenga,Dolphins,Principal Owner,Owner,2005,0
Randy Mueller,Dolphins,General Manager,General Manager,2006,1
Wayne Huizenga,Dolphins,Principal Owner,Owner,2006,0
Randy Mueller,Dolphins,General Manager,General Manager,2007,1
Wayne Huizenga,Dolphins,Principal Owner,Owner,2007,0
Jeff Ireland,Dolphins,General Manager,General Manager,2008,1
Wayne Huizenga,Dolphins,Principal Owner,Owner,2008,0
Bill Parcells,Dolphins,Executive VP of Foootball Operations,VP,2008,0
Stephen Ross,Dolphins,Chairman/Managing General Partner,General Executive,2009,0
Jeff Ireland,Dolphins,General Manager,General Manager,2009,1
Bill Parcells,Dolphins,Executive VP of Foootball Operations,VP,2009,0
Stephen Ross,Dolphins,Chairman/Managing General Partner,General Executive,2010,0
Jeff Ireland,Dolphins,General Manager,General Manager,2010,1
Stephen Ross,Dolphins,Chairman/Managing General Partner,General Executive,2011,0
Jeff Ireland,Dolphins,General Manager,General Manager,2011,1
Stephen Ross,Dolphins,Chairman/Managing General Partner,General Executive,2012,0
Jeff Ireland,Dolphins,General Manager,General Manager,2012,1
Stephen Ross,Dolphins,Chairman/Managing General Partner,General Executive,2013,0
Jeff Ireland,Dolphins,General Manager,General Manager,2013,1
Stephen Ross,Dolphins,Chairman/Managing General Partner,General Executive,2014,0
Dennis Hickey,Dolphins,General Manager,General Manager,2014,1
Stephen Ross,Dolphins,Chairman/Managing General Partner,General Executive,2015,0
Dennis Hickey,Dolphins,General Manager,General Manager,2015,1
Stephen Ross,Dolphins,Chairman/Managing General Partner,General Executive,2016,0
Chris Grier,Dolphins,General Manager,General Manager,2016,1
Stephen Ross,Dolphins,Chairman/Managing General Partner,General Executive,2017,0
Chris Grier,Dolphins,General Manager,General Manager,2017,1
Stephen Ross,Dolphins,Chairman/Managing General Partner,General Executive,2018,0
Chris Grier,Dolphins,General Manager,General Manager,2018,1
Stephen Ross,Dolphins,Chairman/Managing General Partner,General Executive,2019,0
Chris Grier,Dolphins,General Manager,General Manager,2019,1
Stephen Ross,Dolphins,Chairman/Managing General Partner,General Executive,2020,0
Chris Grier,Dolphins,General Manager,General Manager,2020,1
Stephen Ross,Dolphins,Chairman/Managing General Partner,General Executive,2021,0
Chris Grier,Dolphins,General Manager,General Manager,2021,1
Stephen Ross,Dolphins,Chairman/Managing General Partner,General Executive,2022,0
Chris Grier,Dolphins,General Manager,General Manager,2022,1
Stephen Ross,Dolphins,Chairman/Managing General Partner,General Executive,2023,0
Chris Grier,Dolphins,General Manager,General Manager,2023,1
Stephen Ross,Dolphins,Chairman/Managing General Partner,General Executive,2024,0
Chris Grier,Dolphins,General Manager,General Manager,2024,1
Stephen Ross,Dolphins,Chairman/Managing General Partner,General Executive,2025,0
Chris Grier,Dolphins,General Manager,General Manager,2025,1
Edward Madigan,Dons,General Manager,General Manager,1946,1
Harry Thayer,Dons,General Manager,General Manager,1947,1
Harry Thayer,Dons,General Manager,General Manager,1948,1
Harry Thayer,Dons,General Manager,General Manager,1949,1
Bert Bell,Eagles,Owner/President/GM,Owner/General Manager,1936,1
Bert Bell,Eagles,Owner/President/GM,Owner/General Manager,1937,1
Bert Bell,Eagles,Owner/President/GM,Owner/General Manager,1938,1
Bert Bell,Eagles,Owner/President/GM,Owner/General Manager,1939,1
Bert Bell,Eagles,Owner/President/GM,Owner/General Manager,1940,1
Harry Thayer,Eagles,General Manager,General Manager,1941,1
Alexis Thompson,Eagles,Principal Owner,Owner,1941,0
Harry Thayer,Eagles,General Manager,General Manager,1942,1
Alexis Thompson,Eagles,Principal Owner,Owner,1942,0
Harry Thayer,Eagles,General Manager,General Manager,1943,1
Alexis Thompson,Eagles,Principal Owner,Owner,1943,0
Harry Thayer,Eagles,General Manager,General Manager,1944,1
Alexis Thompson,Eagles,Principal Owner,Owner,1944,0
Harry Thayer,Eagles,General Manager,General Manager,1945,1
Alexis Thompson,Eagles,Principal Owner,Owner,1945,0
Harry Thayer,Eagles,General Manager,General Manager,1946,1
Alexis Thompson,Eagles,Principal Owner,Owner,1946,0
Al Ennis,Eagles,General Manager,General Manager,1947,1
Alexis Thompson,Eagles,Principal Owner,Owner,1947,0
Charley Ewart,Eagles,General Manager,General Manager,1948,1
Alexis Thompson,Eagles,Principal Owner,Owner,1948,0
Vince McNally,Eagles,General Manager,General Manager,1949,1
James P. Clark,Eagles,Majority Owner,Owner,1949,0
Vince McNally,Eagles,General Manager,General Manager,1950,1
James P. Clark,Eagles,Majority Owner,Owner,1950,0
Vince McNally,Eagles,General Manager,General Manager,1951,1
James P. Clark,Eagles,Majority Owner,Owner,1951,0
Vince McNally,Eagles,General Manager,General Manager,1952,1
James P. Clark,Eagles,Majority Owner,Owner,1952,0
Vince McNally,Eagles,General Manager,General Manager,1953,1
James P. Clark,Eagles,Majority Owner,Owner,1953,0
Vince McNally,Eagles,General Manager,General Manager,1954,1
James P. Clark,Eagles,Majority Owner,Owner,1954,0
Vince McNally,Eagles,General Manager,General Manager,1955,1
James P. Clark,Eagles,Majority Owner,Owner,1955,0
Vince McNally,Eagles,General Manager,General Manager,1956,1
James P. Clark,Eagles,Majority Owner,Owner,1956,0
Vince McNally,Eagles,General Manager,General Manager,1957,1
James P. Clark,Eagles,Majority Owner,Owner,1957,0
Vince McNally,Eagles,General Manager,General Manager,1958,1
James P. Clark,Eagles,Majority Owner,Owner,1958,0
Vince McNally,Eagles,General Manager,General Manager,1959,1
James P. Clark,Eagles,Majority Owner,Owner,1959,0
Vince McNally,Eagles,General Manager,General Manager,1960,1
James P. Clark,Eagles,Majority Owner,Owner,1960,0
Vince McNally,Eagles,General Manager,General Manager,1961,1
James P. Clark,Eagles,Majority Owner,Owner,1961,0
Vince McNally,Eagles,General Manager,General Manager,1962,1
James P. Clark,Eagles,Majority Owner,Owner,1962,0
Vince McNally,Eagles,General Manager,General Manager,1963,1
Jerry Wolman,Eagles,Principal Owner,Owner,1963,0
Vince McNally,Eagles,General Manager,General Manager,1964,1
Jerry Wolman,Eagles,Principal Owner,Owner,1964,0
Joe Kuharich,Eagles,Head Coach/de facto General Manager,Head Coach/General Manager,1965,1
Jerry Wolman,Eagles,Principal Owner,Owner,1965,0
Joe Kuharich,Eagles,Head Coach/de facto General Manager,Head Coach/General Manager,1966,1
Jerry Wolman,Eagles,Principal Owner,Owner,1966,0
Joe Kuharich,Eagles,Head Coach/de facto General Manager,Head Coach/General Manager,1967,1
Jerry Wolman,Eagles,Principal Owner,Owner,1967,0
Joe Kuharich,Eagles,Head Coach/de facto General Manager,Head Coach/General Manager,1968,1
Jerry Wolman,Eagles,Principal Owner,Owner,1968,0
Pete Retzlaff,Eagles,General Manager,General Manager,1969,1
Leonard Tose,Eagles,Principal Owner,Owner,1969,0
Pete Retzlaff,Eagles,General Manager,General Manager,1970,1
Leonard Tose,Eagles,Principal Owner,Owner,1970,0
Pete Retzlaff,Eagles,General Manager,General Manager,1971,1
Leonard Tose,Eagles,Principal Owner,Owner,1971,0
Pete Retzlaff,Eagles,General Manager,General Manager,1972,1
Leonard Tose,Eagles,Principal Owner,Owner,1972,0
Jim Murray,Eagles,General Manager,General Manager,1973,1
Leonard Tose,Eagles,Principal Owner,Owner,1973,0
Jim Murray,Eagles,General Manager,General Manager,1974,1
Leonard Tose,Eagles,Principal Owner,Owner,1974,0
Jim Murray,Eagles,General Manager,General Manager,1975,1
Leonard Tose,Eagles,Principal Owner,Owner,1975,0
Jim Murray,Eagles,General Manager,General Manager,1976,1
Leonard Tose,Eagles,Principal Owner,Owner,1976,0
Jim Murray,Eagles,General Manager,General Manager,1977,1
Leonard Tose,Eagles,Principal Owner,Owner,1977,0
Jim Murray,Eagles,General Manager,General Manager,1978,1
Leonard Tose,Eagles,Principal Owner,Owner,1978,0
Jim Murray,Eagles,General Manager,General Manager,1979,1
Leonard Tose,Eagles,Principal Owner,Owner,1979,0
Jim Murray,Eagles,General Manager,General Manager,1980,1
Leonard Tose,Eagles,Principal Owner,Owner,1980,0
Jim Murray,Eagles,General Manager,General Manager,1981,1
Leonard Tose,Eagles,Principal Owner,Owner,1981,0
Jim Murray,Eagles,General Manager,General Manager,1982,1
Leonard Tose,Eagles,Principal Owner,Owner,1982,0
Leonard Tose,Eagles,Principal Owner,Owner,1983,0
Susan Tose Spencer,Eagles,Vice President/de facto General Manager,VP/General Manager,1983,1
Leonard Tose,Eagles,Principal Owner,Owner,1984,0
Susan Tose Spencer,Eagles,Vice President/de facto General Manager,VP/General Manager,1984,1
Ed Leibowitz,Eagles,Co-Owner,Owner,1985,0
Norman Braman,Eagles,Owner,Owner,1985,0
Harry Gamble,Eagles,President/General Manager,President/General Manager,1985,1
Norman Braman,Eagles,Owner,Owner,1986,0
Harry Gamble,Eagles,President/General Manager,President/General Manager,1986,1
Norman Braman,Eagles,Owner,Owner,1987,0
Harry Gamble,Eagles,President/General Manager,President/General Manager,1987,1
Norman Braman,Eagles,Owner,Owner,1988,0
Harry Gamble,Eagles,President/General Manager,President/General Manager,1988,1
Norman Braman,Eagles,Owner,Owner,1989,0
Harry Gamble,Eagles,President/General Manager,President/General Manager,1989,1
Norman Braman,Eagles,Owner,Owner,1990,0
Harry Gamble,Eagles,President/General Manager,President/General Manager,1990,1
Norman Braman,Eagles,Owner,Owner,1991,0
Harry Gamble,Eagles,President/General Manager,President/General Manager,1991,1
Norman Braman,Eagles,Owner,Owner,1992,0
Harry Gamble,Eagles,President/General Manager,President/General Manager,1992,1
Norman Braman,Eagles,Owner,Owner,1993,0
Harry Gamble,Eagles,President/General Manager,President/General Manager,1993,1
Jeffrey Lurie,Eagles,Chairman/CEO,General Executive,1994,0
Harry Gamble,Eagles,President/General Manager,President/General Manager,1994,1
Jeffrey Lurie,Eagles,Chairman/CEO,General Executive,1995,0
Harry Gamble,Eagles,President/General Manager,President/General Manager,1995,1
Jeffrey Lurie,Eagles,Chairman/CEO,General Executive,1996,0
Ray Rhodes,Eagles,Head Coach/de facto General Manager,Head Coach/General Manager,1996,1
Jeffrey Lurie,Eagles,Chairman/CEO,General Executive,1997,0
Ray Rhodes,Eagles,Head Coach/de facto General Manager,Head Coach/General Manager,1997,1
Jeffrey Lurie,Eagles,Chairman/CEO,General Executive,1998,0
Tom Modrak,Eagles,General Manager,General Manager,1998,1
Jeffrey Lurie,Eagles,Chairman/CEO,General Executive,1999,0
Tom Modrak,Eagles,General Manager,General Manager,1999,1
Jeffrey Lurie,Eagles,Chairman/CEO,General Executive,2000,0
Tom Modrak,Eagles,General Manager,General Manager,2000,1
Jeffrey Lurie,Eagles,Chairman/CEO,General Executive,2001,0
Andy Reid,Eagles,Head Coach/General Manager,Head Coach/General Manager,2001,1
Jeffrey Lurie,Eagles,Chairman/CEO,General Executive,2002,0
Andy Reid,Eagles,Head Coach/General Manager,Head Coach/General Manager,2002,1
Jeffrey Lurie,Eagles,Chairman/CEO,General Executive,2003,0
Andy Reid,Eagles,Head Coach/General Manager,Head Coach/General Manager,2003,1
Jeffrey Lurie,Eagles,Chairman/CEO,General Executive,2004,0
Andy Reid,Eagles,Head Coach/General Manager,Head Coach/General Manager,2004,1
Jeffrey Lurie,Eagles,Chairman/CEO,General Executive,2005,0
Andy Reid,Eagles,Head Coach/General Manager,Head Coach/General Manager,2005,1
Jeffrey Lurie,Eagles,Chairman/CEO,General Executive,2006,0
Tom Heckert,Eagles,General Manager,General Manager,2006,0
Andy Reid,Eagles,Head Coach/Executive VP of Football Operations,Head Coach/Executive,2006,1
Jeffrey Lurie,Eagles,Chairman/CEO,General Executive,2007,0
Tom Heckert,Eagles,General Manager,General Manager,2007,0
Andy Reid,Eagles,Head Coach/Executive VP of Football Operations,Head Coach/Executive,2007,1
Jeffrey Lurie,Eagles,Chairman/CEO,General Executive,2008,0
Tom Heckert,Eagles,General Manager,General Manager,2008,0
Andy Reid,Eagles,Head Coach/Executive VP of Football Operations,Head Coach/Executive,2008,1
Jeffrey Lurie,Eagles,Chairman/CEO,General Executive,2009,0
Tom Heckert,Eagles,General Manager,General Manager,2009,0
Andy Reid,Eagles,Head Coach/Executive VP of Football Operations,Head Coach/Executive,2009,1
Jeffrey Lurie,Eagles,Chairman/CEO,General Executive,2010,0
Andy Reid,Eagles,Head Coach/Executive VP of Football Operations,Head Coach/Executive,2010,0
Howie Roseman,Eagles,Exec. VP of Football Ops/General Manager,VP/General Manager,2010,1
Jeffrey Lurie,Eagles,Chairman/CEO,General Executive,2011,0
Andy Reid,Eagles,Head Coach/Executive VP of Football Operations,Head Coach/Executive,2011,0
Howie Roseman,Eagles,Exec. VP of Football Ops/General Manager,VP/General Manager,2011,1
Jeffrey Lurie,Eagles,Chairman/CEO,General Executive,2012,0
Andy Reid,Eagles,Head Coach/Executive VP of Football Operations,Head Coach/Executive,2012,0
Howie Roseman,Eagles,Exec. VP of Football Ops/General Manager,VP/General Manager,2012,1
Jeffrey Lurie,Eagles,Chairman/CEO,General Executive,2013,0
Howie Roseman,Eagles,Exec. VP of Football Ops/General Manager,VP/General Manager,2013,1
Jeffrey Lurie,Eagles,Chairman/CEO,General Executive,2014,0
Howie Roseman,Eagles,Exec. VP of Football Ops/General Manager,VP/General Manager,2014,1
Jeffrey Lurie,Eagles,Chairman/CEO,General Executive,2015,0
Chip Kelly,Eagles,Coach/GM,Head Coach/General Manager,2015,0
Howie Roseman,Eagles,Exec. VP of Football Ops/General Manager,VP/General Manager,2015,1
Jeffrey Lurie,Eagles,Chairman/CEO,General Executive,2016,0
Howie Roseman,Eagles,Exec. VP of Football Ops/General Manager,VP/General Manager,2016,1
Jeffrey Lurie,Eagles,Chairman/CEO,General Executive,2017,0
Howie Roseman,Eagles,Exec. VP of Football Ops/General Manager,VP/General Manager,2017,1
Jeffrey Lurie,Eagles,Chairman/CEO,General Executive,2018,0
Howie Roseman,Eagles,Exec. VP of Football Ops/General Manager,VP/General Manager,2018,1
Jeffrey Lurie,Eagles,Chairman/CEO,General Executive,2019,0
Howie Roseman,Eagles,Exec. VP of Football Ops/General Manager,VP/General Manager,2019,1
Jeffrey Lurie,Eagles,Chairman/CEO,General Executive,2020,0
Howie Roseman,Eagles,Exec. VP of Football Ops/General Manager,VP/General Manager,2020,1
Jeffrey Lurie,Eagles,Chairman/CEO,General Executive,2021,0
Howie Roseman,Eagles,Exec. VP of Football Ops/General Manager,VP/General Manager,2021,1
Jeffrey Lurie,Eagles,Chairman/CEO,General Executive,2022,0
Howie Roseman,Eagles,Exec. VP of Football Ops/General Manager,VP/General Manager,2022,1
Jeffrey Lurie,Eagles,Chairman/CEO,General Executive,2023,0
Howie Roseman,Eagles,Exec. VP of Football Ops/General Manager,VP/General Manager,2023,1
Jeffrey Lurie,Eagles,Chairman/CEO,General Executive,2024,0
Howie Roseman,Eagles,Exec. VP of Football Ops/General Manager,VP/General Manager,2024,1
Jeffrey Lurie,Eagles,Chairman/CEO,General Executive,2025,0
Howie Roseman,Eagles,Exec. VP of Football Ops/General Manager,VP/General Manager,2025,1
Frank Wall,Falcons,General Manager,General Manager,1966,1
Rankin Smith,Falcons,Principal Owner,Owner,1966,0
Frank Wall,Falcons,General Manager,General Manager,1967,1
Rankin Smith,Falcons,Principal Owner,Owner,1967,0
Frank Wall,Falcons,General Manager,General Manager,1968,1
Rankin Smith,Falcons,Principal Owner,Owner,1968,0
Frank Wall,Falcons,General Manager,General Manager,1969,1
Rankin Smith,Falcons,Principal Owner,Owner,1969,0
Norm Van Brocklin,Falcons,Head Coach/General Manager,Head Coach/General Manager,1970,1
Rankin Smith,Falcons,Principal Owner,Owner,1970,0
Norm Van Brocklin,Falcons,Head Coach/General Manager,Head Coach/General Manager,1971,1
Rankin Smith,Falcons,Principal Owner,Owner,1971,0
Norm Van Brocklin,Falcons,Head Coach/General Manager,Head Coach/General Manager,1972,1
Rankin Smith,Falcons,Principal Owner,Owner,1972,0
Norm Van Brocklin,Falcons,Head Coach/General Manager,Head Coach/General Manager,1973,1
Rankin Smith,Falcons,Principal Owner,Owner,1973,0
Norm Van Brocklin,Falcons,Head Coach/General Manager,Head Coach/General Manager,1974,1
Rankin Smith,Falcons,Principal Owner,Owner,1974,0
Pat Peppler,Falcons,General Manager,General Manager,1975,1
Rankin Smith,Falcons,Principal Owner,Owner,1975,0
Pat Peppler,Falcons,General Manager/Head Coach,Head Coach/General Manager,1976,1
Rankin Smith,Falcons,Principal Owner,Owner,1976,0
Eddie LeBaron,Falcons,General Manager,General Manager,1977,1
Rankin Smith,Falcons,Principal Owner,Owner,1977,0
Eddie LeBaron,Falcons,General Manager,General Manager,1978,1
Rankin Smith,Falcons,Principal Owner,Owner,1978,0
Eddie LeBaron,Falcons,General Manager,General Manager,1979,1
Rankin Smith,Falcons,Principal Owner,Owner,1979,0
Eddie LeBaron,Falcons,General Manager,General Manager,1980,1
Rankin Smith,Falcons,Principal Owner,Owner,1980,0
Eddie LeBaron,Falcons,General Manager,General Manager,1981,1
Rankin Smith,Falcons,Principal Owner,Owner,1981,0
Tom Braatz,Falcons,General Manager,General Manager,1982,1
Rankin Smith,Falcons,Principal Owner,Owner,1982,0
Tom Braatz,Falcons,General Manager,General Manager,1983,1
Rankin Smith,Falcons,Principal Owner,Owner,1983,0
Tom Braatz,Falcons,General Manager,General Manager,1984,1
Rankin Smith,Falcons,Principal Owner,Owner,1984,0
Tom Braatz,Falcons,General Manager,General Manager,1985,1
Rankin Smith,Falcons,Principal Owner,Owner,1985,0
Dan Henning,Falcons,Head Coach/de facto General Manager,Head Coach/General Manager,1986,1
Rankin Smith,Falcons,Principal Owner,Owner,1986,0
Rankin Smith,Falcons,Principal Owner,Owner,1987,0
Ken Herock,Falcons,VP of Player Personnel,VP,1987,1
Rankin Smith,Falcons,Principal Owner,Owner,1988,0
Ken Herock,Falcons,VP of Player Personnel,VP,1988,1
Rankin Smith,Falcons,Principal Owner,Owner,1989,0
Ken Herock,Falcons,VP of Player Personnel,VP,1989,1
Taylor Smith,Falcons,Principal Owner,Owner,1990,0
Ken Herock,Falcons,VP of Player Personnel,VP,1990,1
Taylor Smith,Falcons,Principal Owner,Owner,1991,0
Ken Herock,Falcons,VP of Player Personnel,VP,1991,1
Taylor Smith,Falcons,Principal Owner,Owner,1992,0
Ken Herock,Falcons,VP of Player Personnel,VP,1992,1
Taylor Smith,Falcons,Principal Owner,Owner,1993,0
Ken Herock,Falcons,VP of Player Personnel,VP,1993,1
Taylor Smith,Falcons,Principal Owner,Owner,1994,0
Ken Herock,Falcons,VP of Player Personnel,VP,1994,1
Taylor Smith,Falcons,Principal Owner,Owner,1995,0
Ken Herock,Falcons,VP of Player Personnel,VP,1995,1
Taylor Smith,Falcons,Principal Owner,Owner,1996,0
Ken Herock,Falcons,VP of Player Personnel,VP,1996,1
Dan Reeves,Falcons,Head Coach/de facto General Manager,Head Coach/General Manager,1997,1
Taylor Smith,Falcons,Principal Owner,Owner,1997,0
Harold Richardson,Falcons,General Manager,General Manager,1998,1
Dan Reeves,Falcons,Head Coach/Player Personnel,Head Coach/Executive,1998,0
Taylor Smith,Falcons,Principal Owner,Owner,1998,0
Harold Richardson,Falcons,General Manager,General Manager,1999,1
Dan Reeves,Falcons,Head Coach/Player Personnel,Head Coach/Executive,1999,0
Taylor Smith,Falcons,Principal Owner,Owner,1999,0
Harold Richardson,Falcons,General Manager,General Manager,2000,1
Dan Reeves,Falcons,Head Coach/Player Personnel,Head Coach/Executive,2000,0
Taylor Smith,Falcons,Principal Owner,Owner,2000,0
Harold Richardson,Falcons,General Manager,General Manager,2001,1
Dan Reeves,Falcons,Head Coach/Player Personnel,Head Coach/Executive,2001,0
Taylor Smith,Falcons,Principal Owner,Owner,2001,0
Dan Reeves,Falcons,Head Coach/de facto General Manager,Head Coach/General Manager,2002,1
Arthur Blank,Falcons,Principal Owner,Owner,2002,0
Dan Reeves,Falcons,Head Coach/de facto General Manager,Head Coach/General Manager,2003,1
Arthur Blank,Falcons,Principal Owner,Owner,2003,0
Rich McKay,Falcons,General Manager,General Manager,2004,1
Arthur Blank,Falcons,Principal Owner,Owner,2004,0
Rich McKay,Falcons,General Manager,General Manager,2005,1
Arthur Blank,Falcons,Principal Owner,Owner,2005,0
Rich McKay,Falcons,General Manager,General Manager,2006,1
Arthur Blank,Falcons,Principal Owner,Owner,2006,0
Rich McKay,Falcons,General Manager,General Manager,2007,1
Arthur Blank,Falcons,Principal Owner,Owner,2007,0
Thomas Dimitroff,Falcons,General Manager,General Manager,2008,1
Arthur Blank,Falcons,Principal Owner,Owner,2008,0
Thomas Dimitroff,Falcons,General Manager,General Manager,2009,1
Arthur Blank,Falcons,Principal Owner,Owner,2009,0
Thomas Dimitroff,Falcons,General Manager,General Manager,2010,1
Arthur Blank,Falcons,Principal Owner,Owner,2010,0
Thomas Dimitroff,Falcons,General Manager,General Manager,2011,1
Arthur Blank,Falcons,Principal Owner,Owner,2011,0
Thomas Dimitroff,Falcons,General Manager,General Manager,2012,1
Arthur Blank,Falcons,Principal Owner,Owner,2012,0
Thomas Dimitroff,Falcons,General Manager,General Manager,2013,1
Arthur Blank,Falcons,Principal Owner,Owner,2013,0
Thomas Dimitroff,Falcons,General Manager,General Manager,2014,1
Arthur Blank,Falcons,Principal Owner,Owner,2014,0
Thomas Dimitroff,Falcons,General Manager,General Manager,2015,1
Arthur Blank,Falcons,Principal Owner,Owner,2015,0
Thomas Dimitroff,Falcons,General Manager,General Manager,2016,1
Arthur Blank,Falcons,Principal Owner,Owner,2016,0
Thomas Dimitroff,Falcons,General Manager,General Manager,2017,1
Arthur Blank,Falcons,Principal Owner,Owner,2017,0
Thomas Dimitroff,Falcons,General Manager,General Manager,2018,1
Arthur Blank,Falcons,Principal Owner,Owner,2018,0
Thomas Dimitroff,Falcons,General Manager,General Manager,2019,1
Arthur Blank,Falcons,Principal Owner,Owner,2019,0
Thomas Dimitroff,Falcons,General Manager,General Manager,2020,1
Arthur Blank,Falcons,Principal Owner,Owner,2020,0
Terry Fontenot,Falcons,General Manager,General Manager,2021,1
Arthur Blank,Falcons,Principal Owner,Owner,2021,0
Terry Fontenot,Falcons,General Manager,General Manager,2022,1
Arthur Blank,Falcons,Principal Owner,Owner,2022,0
Terry Fontenot,Falcons,General Manager,General Manager,2023,1
Arthur Blank,Falcons,Principal Owner,Owner,2023,0
Terry Fontenot,Falcons,General Manager,General Manager,2024,1
Arthur Blank,Falcons,Principal Owner,Owner,2024,0
Terry Fontenot,Falcons,General Manager,General Manager,2025,1
Arthur Blank,Falcons,Principal Owner,Owner,2025,0
Tim Mara,Giants,Founder/Principal Owner,Owner,1925,1
Tim Mara,Giants,Founder/Principal Owner,Owner,1926,1
Tim Mara,Giants,Founder/Principal Owner,Owner,1927,1
Tim Mara,Giants,Founder/Principal Owner,Owner,1928,1
Tim Mara,Giants,Founder/Principal Owner,Owner,1929,1
Tim Mara,Giants,Founder/Principal Owner,Owner,1930,1
Tim Mara,Giants,Founder/Principal Owner,Owner,1931,1
Tim Mara,Giants,Founder/Principal Owner,Owner,1932,1
Tim Mara,Giants,Founder/Principal Owner,Owner,1933,1
Tim Mara,Giants,Founder/Principal Owner,Owner,1934,1
Tim Mara,Giants,Founder/Principal Owner,Owner,1935,1
Tim Mara,Giants,Founder/Principal Owner,Owner,1936,1
Tim Mara,Giants,Founder/Principal Owner,Owner,1937,1
Tim Mara,Giants,Founder/Principal Owner,Owner,1938,1
Tim Mara,Giants,Founder/Principal Owner,Owner,1939,1
Tim Mara,Giants,Founder/Principal Owner,Owner,1940,1
Tim Mara,Giants,Founder/Principal Owner,Owner,1941,1
Tim Mara,Giants,Founder/Principal Owner,Owner,1942,1
Tim Mara,Giants,Founder/Principal Owner,Owner,1943,1
Tim Mara,Giants,Founder/Principal Owner,Owner,1944,1
Tim Mara,Giants,Founder/Principal Owner,Owner,1945,1
Tim Mara,Giants,Founder/Principal Owner,Owner,1946,1
Ray Walsh,Giants,General Manager,General Manager,1947,1
Tim Mara,Giants,Founder/Principal Owner,Owner,1947,0
Ray Walsh,Giants,General Manager,General Manager,1948,1
Tim Mara,Giants,Founder/Principal Owner,Owner,1948,0
Ray Walsh,Giants,General Manager,General Manager,1949,1
Tim Mara,Giants,Founder/Principal Owner,Owner,1949,0
Ray Walsh,Giants,General Manager,General Manager,1950,1
Tim Mara,Giants,Founder/Principal Owner,Owner,1950,0
Ray Walsh,Giants,General Manager,General Manager,1951,1
Tim Mara,Giants,Founder/Principal Owner,Owner,1951,0
Ray Walsh,Giants,General Manager,General Manager,1952,1
Tim Mara,Giants,Founder/Principal Owner,Owner,1952,0
Ray Walsh,Giants,General Manager,General Manager,1953,1
Tim Mara,Giants,Founder/Principal Owner,Owner,1953,0
Ray Walsh,Giants,General Manager,General Manager,1954,1
Tim Mara,Giants,Founder/Principal Owner,Owner,1954,0
Ray Walsh,Giants,General Manager,General Manager,1955,1
Tim Mara,Giants,Founder/Principal Owner,Owner,1955,0
Ray Walsh,Giants,General Manager,General Manager,1956,1
Tim Mara,Giants,Founder/Principal Owner,Owner,1956,0
Ray Walsh,Giants,General Manager,General Manager,1957,1
Tim Mara,Giants,Founder/Principal Owner,Owner,1957,0
Ray Walsh,Giants,General Manager,General Manager,1958,1
Tim Mara,Giants,Founder/Principal Owner,Owner,1958,0
Ray Walsh,Giants,General Manager,General Manager,1959,1
Jack Mara,Giants,Co-Owner,Owner,1959,0
Wellington Mara,Giants,Co-Owner,Owner,1959,0
Ray Walsh,Giants,General Manager,General Manager,1960,1
Jack Mara,Giants,Co-Owner,Owner,1960,0
Wellington Mara,Giants,Co-Owner,Owner,1960,0
Ray Walsh,Giants,General Manager,General Manager,1961,1
Jack Mara,Giants,Co-Owner,Owner,1961,0
Wellington Mara,Giants,Co-Owner,Owner,1961,0
Ray Walsh,Giants,General Manager,General Manager,1962,1
