rank,school,headshot,position,college_year,first_name,last_name,athletic,br,cbs,tdn,drafttek,espn,nbc,nfl,pff,pfn,ringer,si,usa,walter,yahoo,std_dev,avg
340,https://a.espncdn.com/i/teamlogos/ncaa/500/228.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103657.png,LB,RS SR.,Kendall,Joseph,–,–,–,–,286,324,425,401,–,–,–,–,226,–,–,81.9,332.4
341,https://a.espncdn.com/i/teamlogos/ncaa/500/201.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103884.png,IDL,JR.,Amani,Bledsoe,–,–,–,–,168,273,362,459,–,–,–,–,–,–,–,124.3,315.5
342,https://a.espncdn.com/i/teamlogos/ncaa/500/66.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103924.png,CB,RS SR.,Brian,Peavy,–,–,–,–,–,340,292,380,104,–,–,–,–,–,–,122.1,279
343,https://a.espncdn.com/i/teamlogos/ncaa/500/2306.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ag0zdiu7zdiss8svzacp",CB,SR.,Duke,Shelley,–,–,141,–,–,–,–,320,248,418,–,–,–,–,–,116.9,281.75
344,https://a.espncdn.com/i/teamlogos/ncaa/500/62.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103882.png,WR,RS JR.,John,Ursua,–,–,–,–,281,335,479,353,–,424,–,–,–,–,–,77.7,374.4
345,0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/v3mthhcab5utuaf00gu0",CB,SR.,Ka'dar,Hollman,–,–,–,–,–,–,419,135,–,202,–,–,–,–,–,148.5,252
346,https://a.espncdn.com/i/teamlogos/ncaa/500/245.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/zathwqun4ewaxmvkykrb",S,RS SR.,Donovan,Wilson,–,–,–,–,–,234,428,275,–,393,–,–,–,–,–,92.7,332.5
347,https://a.espncdn.com/i/teamlogos/ncaa/500/251.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103781.png,CB,SR.,Davante,Davis,–,–,–,275,462,270,247,441,–,–,–,–,–,–,–,103.5,339
348,https://a.espncdn.com/i/teamlogos/ncaa/500/99.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/w0vke31pgjvsna67bzb0",K,RS SR.,Cole,Tracy,–,–,–,–,189,–,317,357,–,–,–,–,–,–,–,87.8,287.67
349,https://a.espncdn.com/i/teamlogos/ncaa/500/2390.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/pwdg8rtkn23txln52zlr",OT,SR.,Tyree,St. Louis,–,–,–,–,359,–,344,363,–,–,–,–,212,–,–,72.1,319.5
350,https://a.espncdn.com/i/teamlogos/ncaa/500/52.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103581.png,WR,SR.,Nyqwan,Murray,–,–,–,–,355,237,408,328,–,–,–,–,–,–,–,71.5,332
351,https://a.espncdn.com/i/teamlogos/ncaa/500/96.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/dxmkolik0jy3benf8wo7",TE,SR.,C.J.,Conrad,–,–,–,–,310,–,314,448,–,–,–,–,218,–,–,94.7,322.5
352,0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/riqecozljdngwjjndcxl",K,SR.,Austin,Seibert,–,–,–,–,–,–,295,227,–,414,–,–,–,–,–,94.7,312
353,https://a.espncdn.com/i/teamlogos/ncaa/500/26.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103871.png,OT,RS JR.,Andre,James,–,–,–,–,389,208,268,487,–,–,–,–,–,–,–,124.6,338
356,https://a.espncdn.com/i/teamlogos/ncaa/500/189.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/elayeouxxdpuqg65gvad",WR,SR.,Scott,Miller,–,–,–,–,417,–,382,290,–,419,–,–,–,–,–,60.4,377
357,https://a.espncdn.com/i/teamlogos/ncaa/500/251.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/bcijuig0lknypzy3wbf6",TE,SR.,Andrew,Beck,–,–,–,246,490,–,287,313,–,–,–,–,–,–,–,107.6,334
358,https://a.espncdn.com/i/teamlogos/ncaa/500/8.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103894.png,CB,RS JR.,Ryan,Pulley,–,–,–,–,420,315,316,325,–,–,–,–,–,–,–,50.9,344
359,https://a.espncdn.com/i/teamlogos/ncaa/500/195.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ag46ldhrbm7oq8npfikx",OG,RS SR.,Joe,Lowery,–,–,–,–,498,–,338,291,242,–,–,–,–,–,–,111,342.25
360,https://a.espncdn.com/i/teamlogos/ncaa/500/275.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ghmkqf0ne8cksqbivbdu",IDL,SR.,Olive,Sagapolu,–,–,–,–,157,–,442,370,–,–,–,–,–,–,–,148.2,323
361,https://a.espncdn.com/i/teamlogos/ncaa/500/2655.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103776.png,CB,RS SR.,Donnie,Lewis Jr.,–,–,–,–,443,366,439,400,–,275,–,–,–,–,–,68.9,384.6
362,https://a.espncdn.com/i/teamlogos/ncaa/500/251.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/pz8pcyxbnk73lagoimbc",OT,RS SR.,Calvin,Anderson,–,–,–,241,–,–,277,337,–,–,–,–,–,–,–,48.5,285
364,https://a.espncdn.com/i/teamlogos/ncaa/500/97.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ws0johphlm1isvnsg6ft",WR,SR.,Jaylen,Smith,–,–,–,–,–,216,411,283,–,–,–,–,–,–,–,99.1,303.33
367,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/vhlrjztf1w0pizgkd8bb",RB,SR.,Chandler,Cox,–,–,–,–,440,–,447,309,–,423,–,–,–,–,–,64.6,404.75
368,https://a.espncdn.com/i/teamlogos/ncaa/500/142.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/lbasrri0skojlq0wm550",IDL,SR.,Terry,Beckner,–,–,108,199,–,–,–,461,–,–,–,–,–,–,–,183.3,256
369,https://a.espncdn.com/i/teamlogos/ncaa/500/259.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/pys78g8upqxtt1hmshkk",OT,SR.,Yosh,Nijman,–,–,–,–,476,–,–,232,210,–,–,–,–,–,–,147.6,306
370,https://a.espncdn.com/i/teamlogos/ncaa/500/242.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/b6kxr3i6dwihmffrvqr7",P,SR.,Jack,Fox,–,–,–,–,296,–,393,333,–,–,–,–,–,–,–,49,340.67
371,https://a.espncdn.com/i/teamlogos/ncaa/500/238.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/sma6msvnygutp7xvu5ev",QB,SR.,Kyle,Shurmur,–,–,–,–,–,–,322,319,–,–,–,–,262,–,–,33.8,301
373,0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/default_prospect_headshot",LB,RS SR.,Quincy,Williams,–,–,–,–,–,–,–,152,–,412,–,–,–,–,–,183.8,282
374,https://a.espncdn.com/i/teamlogos/ncaa/500/356.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ggx3xt5qeqtseaiizxaf",C,SR.,Nick,Allegretti,–,–,–,–,492,–,248,474,–,420,–,–,–,–,–,111.3,408.5
377,https://a.espncdn.com/i/teamlogos/ncaa/500/21.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/vtl5ik9dksmlh7piz9ji",K,RS SR.,John,Baron II,–,–,–,–,240,–,336,465,–,–,–,–,–,–,–,112.9,347
378,0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/xi1lfed5og7qjroyv5mp",OG,SR.,Marquez,Tucker,–,–,–,–,–,–,347,157,–,–,–,–,–,–,–,134.4,252
379,https://a.espncdn.com/i/teamlogos/ncaa/500/2006.png,0,LB,RS SR.,Jamal,Davis II,–,–,–,262,463,276,304,–,–,–,–,–,–,–,–,92.8,326.25
380,0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/vl6imyq3cknqcjxgzje0",OG,RS SR.,Wes,Martin,–,–,–,–,–,–,–,174,–,412,–,–,–,–,–,168.3,293
381,https://a.espncdn.com/i/teamlogos/ncaa/500/259.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103765.png,OT,-,Yosuah,Nijman,–,–,–,–,–,226,114,–,–,–,–,–,–,–,–,79.2,170
384,https://a.espncdn.com/i/teamlogos/ncaa/500/2006.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/jlqafishbaceugsge1vf",ED,RS SR.,Jamal,Davis,–,–,152,–,–,–,–,260,–,–,–,–,–,–,–,76.4,206
385,https://a.espncdn.com/i/teamlogos/ncaa/500/2534.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/aokrvvzj2rypwpthrhkv",ED,RS SR.,Derick,Roberson,–,–,–,–,–,–,397,323,–,–,–,–,247,–,–,75,322.33
387,0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/xhmnkf8sihpvm3jiyzon",S,SR.,Nick,Scott,–,–,–,–,–,–,372,368,–,319,–,–,–,–,–,29.5,353
388,0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/default_prospect_headshot",C,RS SR.,Brandon,Hitner,–,–,–,–,–,–,285,243,–,–,–,–,–,–,–,29.7,264
392,https://a.espncdn.com/i/teamlogos/ncaa/500/103.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/aisopuqjqilicpzc8lug",WR,SR.,Jeff,Smith,–,–,–,–,393,360,–,282,–,–,–,–,–,–,–,57,345
397,0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/yoc7nrogshhg4htffooi",OG,SR.,Keaton,Sutherland,–,–,–,–,–,–,283,280,–,–,–,–,–,–,–,2.1,281.5
398,0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/default_prospect_headshot",ED,SR.,Quinton,Bell,–,–,–,–,–,–,493,312,–,348,–,–,–,–,–,95.8,384.33
402,https://a.espncdn.com/i/teamlogos/ncaa/500/2751.png,0,IDL,-,Youhanna,Ghaifan,–,–,–,–,137,–,354,–,–,–,–,–,–,–,–,153.4,245.5
405,https://a.espncdn.com/i/teamlogos/ncaa/500/2535.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/default_prospect_headshot",WR,SR.,Kelvin,McKnight,–,–,–,–,–,–,384,395,–,–,–,–,260,–,–,75,346.33
406,0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ectzispcc2yuqlv5wxlw",WR,SR.,Juwann,Winfree,–,–,–,–,–,–,–,273,–,407,–,–,–,–,–,94.8,340
407,https://a.espncdn.com/i/teamlogos/ncaa/500/344.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/vmx4fdrh0wlzncdn8v7g",OG,RS SR.,Shaq,Calhoun,–,–,–,–,485,–,–,143,–,–,–,–,–,–,–,241.8,314
411,https://a.espncdn.com/i/teamlogos/ncaa/500/2641.png,0,S,SR.,Jah'Shawn,Johnson,–,–,–,213,211,–,–,–,–,–,–,–,–,–,–,1.4,212
413,0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/brxsv7nphbhd0zpb83a1",WR,SR.,Felton,Davis,–,–,–,–,–,–,418,200,–,–,–,–,–,–,–,154.1,309
414,https://a.espncdn.com/i/teamlogos/ncaa/500/344.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/nmc3fofjswthhfc72i0x",RB,RS SR.,Aeris,Williams,–,–,–,–,297,–,–,344,–,–,–,–,–,–,–,33.2,320.5
416,0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/default_prospect_headshot",QB,RS SR.,Manny,Wilkins,–,–,–,–,–,–,421,217,–,–,–,–,–,–,–,144.2,319
418,https://a.espncdn.com/i/teamlogos/ncaa/500/113.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/okddeqzsj8iiwhjzkycr",RB,SR.,Marquis,Young,–,–,–,–,450,–,–,214,–,–,–,–,–,–,–,166.9,332
420,0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/default_prospect_headshot",LB,SR.,E.J.,Speed,–,–,–,–,–,–,–,317,–,413,–,–,–,–,–,67.9,365
421,https://a.espncdn.com/i/teamlogos/ncaa/500/135.png,https://media.pff.com/player-photos/nfl/34815.png,CB,SR.,Jacob,Huff,–,–,–,–,273,–,–,–,197,–,–,–,–,–,–,53.7,235
423,0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/s9siewtvgx6bfxelsrkr",OT,SR.,George,Asafo-Adjei,–,–,–,–,–,–,389,468,–,422,–,–,–,–,–,39.7,426.33
426,https://a.espncdn.com/i/teamlogos/ncaa/500/130.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/qhd31dqqvw6pj0atrjpi",S,SR.,Tyree,Kinnel,–,–,–,–,383,–,–,293,–,–,–,–,–,–,–,63.6,338
431,0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/bhrplmtul4bjpdnhocjg",CB,SR.,Chris,Westry,–,–,–,–,–,–,471,219,–,–,–,–,–,–,–,178.2,345
440,https://a.espncdn.com/i/teamlogos/ncaa/500/24.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103789.png,LB,RS SR.,Joey,Alfieri,–,–,–,–,–,317,–,338,–,–,–,–,–,–,–,14.8,327.5
445,https://a.espncdn.com/i/teamlogos/ncaa/500/2638.png,0,FB,-,Winston,Dimel,–,–,–,–,363,–,279,–,–,–,–,–,–,–,–,59.4,321
448,https://a.espncdn.com/i/teamlogos/ncaa/500/2692.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103818.png,OG,-,Iosua,Opeta,–,–,–,–,–,344,234,–,–,–,–,–,–,–,–,77.8,289
451,https://a.espncdn.com/i/teamlogos/ncaa/500/52.png,0,C,-,Alec,Eberle,–,–,–,–,194,–,477,–,–,–,–,–,–,–,–,200.1,335.5
452,0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/esu8ei75xzsxo4hwgghi",WR,RS SR.,Marcus,Green,–,–,–,–,–,–,–,423,–,417,–,–,–,–,–,4.2,420
455,0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/eh3xsg8qsd8ky5xeteev",S,RS SR.,Marcus,Epps,–,–,–,–,–,–,–,431,–,416,–,–,–,–,–,10.6,423.5
