rank,school,headshot,position,college_year,first_name,last_name,athletic,br,cbs,tdn,drafttek,espn,nbc,nfl,pff,pfn,ringer,si,usa,walter,yahoo,std_dev,avg
81,https://a.espncdn.com/i/teamlogos/ncaa/500/61.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103549.png,ED,SR.,D'Andre,Walker,47,–,144,86,94,82,93,72,139,97,88,92,126,64,52,28.1,90.87
82,https://a.espncdn.com/i/teamlogos/ncaa/500/96.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103598.png,CB,SR.,Lonnie,Johnson Jr.,–,50,44,187,52,55,61,58,161,101,–,78,76,98,–,43.7,85.08
83,https://a.espncdn.com/i/teamlogos/ncaa/500/2011.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103749.png,OT,RS SR.,Tytus,Howard,79,–,109,186,69,47,62,60,56,135,45,88,102,–,88,39.7,86.62
84,https://a.espncdn.com/i/teamlogos/ncaa/500/2226.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103678.png,RB,JR.,Devin,Singletary,78,–,64,81,116,141,69,109,125,93,71,55,127,–,65,28.2,90
85,https://a.espncdn.com/i/teamlogos/ncaa/500/277.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103539.png,QB,RS SR.,Will,Grier,–,–,80,91,204,124,57,189,24,102,60,81,49,90,72,50.9,91.5
86,https://a.espncdn.com/i/teamlogos/ncaa/500/251.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103734.png,ED,SR.,Charles,Omenihu,–,–,60,51,95,131,79,169,75,76,–,91,45,–,81,34.3,86
87,https://a.espncdn.com/i/teamlogos/ncaa/500/2459.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103611.png,OT,RS SR.,Max,Scharping,81,–,–,113,101,70,46,75,50,91,48,–,97,–,92,22.9,78.55
88,https://a.espncdn.com/i/teamlogos/ncaa/500/87.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/jaokrxndecobvxag6e9k",WR,SR.,Miles,Boykin,82,–,74,159,99,61,66,98,87,117,52,–,91,–,–,29.7,89.64
89,https://a.espncdn.com/i/teamlogos/ncaa/500/142.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103599.png,WR,SR.,Emanuel,Hall,–,–,83,73,66,117,105,89,89,–,57,95,71,92,83,16.3,85.77
90,https://a.espncdn.com/i/teamlogos/ncaa/500/213.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103857.png,OG,JR.,Connor,McGovern,84,–,154,101,64,68,151,78,76,67,–,79,128,–,70,32.8,93.33
91,https://a.espncdn.com/i/teamlogos/ncaa/500/275.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103565.png,OG,RS SR.,Michael,Deiter,–,–,–,38,86,85,97,92,105,70,–,63,118,77,–,21.7,84
92,https://a.espncdn.com/i/teamlogos/ncaa/500/2429.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103730.png,OG,RS SR.,Nate,Davis,–,–,126,75,114,81,96,94,74,77,98,–,69,–,–,18.7,90.4
93,https://a.espncdn.com/i/teamlogos/ncaa/500/333.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/101657.png,ED,RS SR.,Christian,Miller,96,–,78,62,186,149,125,50,155,69,93,90,105,–,68,39.2,101.79
94,https://a.espncdn.com/i/teamlogos/ncaa/500/9.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/uopzsmbxucsrg2m80xiq",IDL,RS SR.,Renell,Wren,88,–,73,71,88,155,161,68,145,95,79,59,94,–,–,35.4,98
95,https://a.espncdn.com/i/teamlogos/ncaa/500/145.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103725.png,TE,JR.,Dawson,Knox,85,–,–,88,76,118,123,81,114,72,94,75,83,–,85,17.5,91.17
96,https://a.espncdn.com/i/teamlogos/ncaa/500/21.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/vtyafnhsoku6qdzubndl",TE,RS JR.,Kahale,Warring,83,–,95,84,138,92,80,42,–,83,84,–,114,–,–,24.7,89.5
97,https://a.espncdn.com/i/teamlogos/ncaa/500/152.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103724.png,LB,RS SR.,Germaine,Pratt,71,–,167,149,74,95,144,117,115,132,80,86,110,93,–,30.7,110.23
98,https://a.espncdn.com/i/teamlogos/ncaa/500/201.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103617.png,OG,SR.,Dru,Samia,–,–,128,60,247,77,63,113,116,80,–,85,115,–,78,52.2,105.64
99,https://a.espncdn.com/i/teamlogos/ncaa/500/2390.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103602.png,ED,JR.,Joe,Jackson,–,–,127,125,61,119,131,133,141,181,–,61,120,86,–,36.7,112.67
100,https://a.espncdn.com/i/teamlogos/ncaa/500/152.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103552.png,QB,RS SR.,Ryan,Finley,–,–,72,216,117,30,162,90,94,148,–,–,174,36,–,58.6,110.82
101,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/103733.png,CB,RS JR.,Jamel,Dean,86,–,176,196,97,126,88,93,73,120,75,–,84,–,–,41.1,110.36
