rank,school,headshot,position,college_year,first_name,last_name,br,cbs,tdn,drafttek,espn,nbc,nfl,pff,sbn,si,usa,walter,yahoo,std_dev,avg
354,https://a.espncdn.com/i/teamlogos/ncaa/500/275.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/p1ejcj2cca3yaxmlhmqm",IDL,SR.,Conor,Sheehy,–,–,–,206,–,–,377,–,–,–,–,–,–,120.9,291.5
355,https://a.espncdn.com/i/teamlogos/ncaa/500/61.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/smskljiokmezzzanhtpe",TE,SR.,Jeb,Blazevich,–,–,–,231,–,–,355,–,–,–,–,–,–,87.7,293
356,https://a.espncdn.com/i/teamlogos/ncaa/500/58.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/cf0qpuuzxllwnlasqgcq",ED,SR.,Mike,Love,–,–,–,–,–,–,286,–,–,–,217,–,–,48.8,251.5
357,https://a.espncdn.com/i/teamlogos/ncaa/500/9.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/101589.png,RB,SR.,Demario,Richard,–,–,–,377,287,–,383,–,–,–,–,–,–,53.8,349
358,https://a.espncdn.com/i/teamlogos/ncaa/500/36.png,https://media.pff.com/player-photos/nfl/39541.png,RB,RS SR.,Dalyn,Dawkins,–,–,–,183,–,–,–,128,–,–,–,–,–,38.9,155.5
359,https://a.espncdn.com/i/teamlogos/ncaa/500/2306.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/h7bjccpx31qiof2was5q",K,SR.,Matt,McCrane,–,–,–,216,–,–,405,–,–,–,–,–,–,133.6,310.5
361,https://a.espncdn.com/i/teamlogos/ncaa/500/222.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/sfdjqxpjfgcudohr9fy5",CB,SR.,Malik,Reaves,–,–,–,–,–,–,385,–,–,–,163,–,–,157,274
362,https://a.espncdn.com/i/teamlogos/ncaa/500/2132.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/dooy9kj7n3jdtym0h5zj",OT,SR.,Korey,Cunningham,–,–,–,–,–,176,339,–,–,–,–,–,–,115.3,257.5
364,https://a.espncdn.com/i/teamlogos/ncaa/500/57.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/101637.png,TE,-,DeAndre,Goolsby,–,–,–,292,290,–,–,–,–,–,240,–,–,29.5,274
365,https://a.espncdn.com/i/teamlogos/ncaa/500/254.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/s7ukcxomhuznzz46ay4m",IDL,-,Filipo,Mokofisi,–,–,–,246,–,–,401,–,–,–,–,–,–,109.6,323.5
367,https://a.espncdn.com/i/teamlogos/ncaa/500/2229.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/default_prospect_headshot",QB,SR.,Alex,McGough,–,–,–,279,–,–,569,243,–,–,–,–,–,178.7,363.67
368,https://a.espncdn.com/i/teamlogos/ncaa/500/98.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/jcvaxlv2czow4bqqq4vb",TE,RS SR.,Deon,Yelder,–,–,–,–,–,–,357,219,–,–,–,–,–,97.6,288
369,https://a.espncdn.com/i/teamlogos/ncaa/500/145.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/thidycmqkemnrtag4fdj",OG,SR.,Rod,Taylor,–,–,–,–,–,–,317,–,–,–,–,–,242,53,279.5
370,https://a.espncdn.com/i/teamlogos/ncaa/500/2306.png,https://media.pff.com/player-photos/nfl/49905.png,IDL,GR.,Will,Geary,–,–,–,182,–,–,–,185,–,–,–,–,–,2.1,183.5
371,https://a.espncdn.com/i/teamlogos/ncaa/500/245.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/101605.png,IDL,SR.,Zay,Henderson,–,–,–,–,276,–,331,–,–,–,–,–,–,38.9,303.5
372,https://a.espncdn.com/i/teamlogos/ncaa/500/103.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/101748.png,CB,SR.,Kamrin,Moore,–,–,–,–,207,–,400,–,–,–,–,–,–,136.5,303.5
373,https://a.espncdn.com/i/teamlogos/ncaa/500/225.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/101798.png,LB,SR.,Dewey,Jarvis,–,–,–,–,260,–,351,–,–,–,–,–,–,64.3,305.5
377,https://a.espncdn.com/i/teamlogos/ncaa/500/254.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/oxf9xturhup9ycrhcyoh",OG,SR.,Leka,Uhatafe,–,–,–,–,–,–,367,–,–,–,–,–,217,106.1,292
378,0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/nuahaeifoddlwbqg9rkd",TE,SR.,Nick,Keizer,–,–,–,–,339,–,289,–,–,–,–,–,–,35.4,314
379,https://a.espncdn.com/i/teamlogos/ncaa/500/249.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/vdujpnb6hfgfz2bkkfeg",RB,SR.,Jeff,Wilson,–,–,–,326,–,–,361,–,–,–,–,–,–,24.7,343.5
380,https://a.espncdn.com/i/teamlogos/ncaa/500/2083.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/rbvzmygscdfw9devguas",IDL,SR.,Abdullah,Anderson,–,–,–,–,332,–,304,–,–,–,–,–,–,19.8,318
381,https://a.espncdn.com/i/teamlogos/ncaa/500/197.png,https://media.pff.com/player-photos/nfl/44545.png,IDL,RS SR.,DeQuinton,Osborne,–,–,–,175,–,–,–,236,–,–,–,–,–,43.1,205.5
382,https://a.espncdn.com/i/teamlogos/ncaa/500/295.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/tbkzhevvtckadklsg9a5",ED,SR.,Olubunmi,Rotimi,–,–,–,–,318,–,322,–,–,–,–,–,–,2.8,320
383,https://a.espncdn.com/i/teamlogos/ncaa/500/259.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/pho61sxopknh1m3fjg6t",LB,RS SR.,Andrew,Motuapuaka,–,–,–,–,–,–,398,228,–,–,–,–,–,120.2,313
384,https://a.espncdn.com/i/teamlogos/ncaa/500/2050.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/g7zyymt4jf34xbfervrb",ED,RS SR.,Anthony,Winbush,–,–,–,387,–,–,310,–,–,–,–,–,–,54.4,348.5
386,https://a.espncdn.com/i/teamlogos/ncaa/500/201.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/x34x2gxqclpw1xghfwtf",S,SR.,Steven,Parker,–,–,–,–,–,–,393,248,–,–,–,–,–,102.5,320.5
387,https://a.espncdn.com/i/teamlogos/ncaa/500/277.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/yfewosjxzekys2ttl1f0",OG,SR.,Kyle,Bosch,–,–,–,–,–,–,454,199,–,–,–,–,–,180.3,326.5
388,https://a.espncdn.com/i/teamlogos/ncaa/500/2348.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/default_prospect_headshot",RB,RS SR.,Boston,Scott,–,–,–,–,–,–,536,116,–,–,–,–,–,297,326
391,0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/default_prospect_headshot",ED,JR.,Zach,Sieler,–,–,–,–,–,–,166,–,–,–,–,–,–,–,166
392,https://a.espncdn.com/i/teamlogos/ncaa/500/87.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/rcfzuvfow9alazwjdnhv",LB,SR.,Nyles,Morgan,–,–,–,–,–,–,399,–,–,–,276,–,–,87,337.5
393,https://a.espncdn.com/i/teamlogos/ncaa/500/2628.png,https://media.pff.com/player-photos/nfl/49351.png,CB,SR.,Ranthony,Texada,–,–,–,–,–,–,–,245,–,–,169,–,–,53.7,207
395,https://a.espncdn.com/i/teamlogos/ncaa/500/52.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/tbdkyf0v6x3beu5nnr7m",OT,SR.,Rick,Leonard,–,–,–,–,285,–,415,–,–,–,–,–,–,91.9,350
397,https://a.espncdn.com/i/teamlogos/ncaa/500/2132.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/bm8uj5towmh4rr0ckjne",RB,SR.,Mike,Boone,–,–,–,–,–,174,499,–,–,–,–,–,–,229.8,336.5
400,0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/default_prospect_headshot",CB,RS SR.,Simeon,Thomas,–,–,–,–,–,162,523,–,–,–,–,–,–,255.3,342.5
404,0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/cvu8iwg6vjoz7u2155wa",OG,RS SR.,Aaron,Stinnie,–,–,–,–,–,–,229,–,–,–,–,–,–,–,229
408,0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/a41noio4pintfqfwyngl",WR,SR.,Vyncint,Smith,–,–,–,–,–,–,231,–,–,–,–,–,–,–,231
412,https://a.espncdn.com/i/teamlogos/ncaa/500/248.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/101828.png,QB,-,Kyle,Allen,–,–,–,357,216,–,–,–,–,–,–,–,–,99.7,286.5
413,0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/cc9mmoh84ihkbr4uerex",ED,SR.,Jake,Martin,–,–,–,–,–,–,240,–,–,–,–,–,–,–,240
415,https://a.espncdn.com/i/teamlogos/ncaa/500/77.png,https://media.pff.com/player-photos/nfl/49064.png,S,SR.,Kyle,Queiro,–,–,–,–,324,–,–,187,–,–,–,–,–,96.9,255.5
417,https://a.espncdn.com/i/teamlogos/ncaa/500/2628.png,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/default_prospect_headshot",LB,SR.,Travin,Howard,–,128,–,–,–,–,603,–,–,–,–,–,–,335.9,365.5
418,0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/default_prospect_headshot",CB,RS SR.,Mike,Ford,–,–,–,–,–,–,254,–,–,–,–,–,–,–,254
420,https://a.espncdn.com/i/teamlogos/ncaa/500/135.png,https://a.espncdn.com/i/headshots/nfldraft/players/full/101629.png,TE,-,Brandon,Lingen,–,–,–,334,263,–,–,–,–,–,–,–,–,50.2,298.5
422,0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ptsdfhdpwou9cqcmkfxx",LS,SR.,Tanner,Carew,–,–,–,–,–,–,260,–,–,–,–,–,–,–,260
424,0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/x5rrmocvldijo2bxim3p",WR,-,Ka'Raun,White,–,–,–,–,–,–,267,–,–,–,–,–,–,–,267
427,https://a.espncdn.com/i/teamlogos/ncaa/500/201.png,0,CB,-,Jordan,Thomas,–,–,–,398,–,–,–,–,–,–,204,–,–,137.2,301
429,0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/jxsfczmudpe055y0tce7",WR,SR.,Jalen,Tolliver,–,–,–,–,–,–,271,–,–,–,–,–,–,–,271
432,0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/cgpwgsmvlbhbakfdgvcs",WR,SR.,Damion,Ratley,–,–,–,–,–,–,276,–,–,–,–,–,–,–,276
