Rank,playerId,gsisPlayerId,league,playerImageId,headshotUrl,player,playerFullName,position,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamImageId,currentNFLTeamId,currentNFLTeamAbbrev,currentNFLTeamName,currentNFLStatus,lastNFLTeamId,lastNFLTeamAbbrev,lastNFLTeamName,lastNFLTeamLocation,lastNFLTeamFullName,inFBS,inFCS,activeFBSTeam,activeFCSTeam,teamColor,gameConference,TeamTgt%,G,Routes,Tar,Rec,G,null
37,36912,00-0036912,NFL,SMI206016,https://static.www.nfl.com/image/upload/{formatInstructions}/league/vj2fz8veorg1k5qthnjm,DeVonta Smith,DeVonta Smith,WR,Philadelphia Eagles,PHI,3700,3700,3700,PHI,Eagles,ACT,3700,PHI,Eagles,Philadelphia,Philadelphia Eagles,,,,,#004851,NFC,21.3%,13,390,89,68,13,
38,37664,00-0037664,NFL,PIE185673,https://static.www.nfl.com/image/upload/{formatInstructions}/league/zeghrjc8rir3r3zi6det,Alec Pierce,Alec Pierce,WR,Indianapolis Colts,IND,2200,2200,2200,IND,Colts,ACT,2200,IND,Colts,Indianapolis,Indianapolis Colts,,,,,#013369,AFC,14.0%,16,451,69,37,16,
39,30506,00-0030506,NFL,KEL012458,https://static.www.nfl.com/image/upload/{formatInstructions}/league/ebc5j60djpinc9elvlc5,Travis Kelce,Travis Kelce,TE,Kansas City Chiefs,KC,2310,2310,2310,KC,Chiefs,ACT,2310,KC,Chiefs,Kansas City,Kansas City Chiefs,,,,,#E31837,AFC,23.3%,16,569,133,97,16,
40,37261,00-0037261,NFL,SHA107427,https://static.www.nfl.com/image/upload/{formatInstructions}/league/otadttbhvkmavhsonnqm,Khalil Shakir,Khalil Shakir,WR,Buffalo Bills,BUF,610,610,610,BUF,Bills,ACT,610,BUF,Bills,Buffalo,Buffalo Bills,,,,,#00338D,AFC,20.2%,15,380,100,76,15,
41,36252,00-0036252,NFL,PIT228050,https://static.www.nfl.com/image/upload/{formatInstructions}/league/z78xpye9hing1e7wke8b,Michael Pittman,Michael Pittman,WR,Indianapolis Colts,IND,2200,2200,2200,IND,Colts,ACT,2200,IND,Colts,Indianapolis,Indianapolis Colts,,,,,#013369,AFC,22.6%,16,480,111,69,16,
42,38997,00-0038997,NFL,DOW686145,https://static.www.nfl.com/image/upload/{formatInstructions}/league/gqozitn9vxnp8acz6wwg,Josh Downs,Josh Downs,WR,Indianapolis Colts,IND,2200,2200,2200,IND,Colts,ACT,2200,IND,Colts,Indianapolis,Indianapolis Colts,,,,,#013369,AFC,21.7%,14,364,107,72,14,
43,36550,00-0036550,NFL,BAT103884,https://static.www.nfl.com/image/upload/{formatInstructions}/league/gtktmsfcxc1eijwpwzyq,Rashod Bateman,Rashod Bateman,WR,Baltimore Ravens,BAL,325,325,325,BAL,Ravens,ACT,325,BAL,Ravens,Baltimore,Baltimore Ravens,,,,,#24135F,AFC,15.8%,17,444,72,45,17,
44,30279,00-0030279,NFL,ALL532966,https://static.www.nfl.com/image/upload/{formatInstructions}/league/lngo1onvkcqjnq7ozkuu,Keenan Allen,Keenan Allen,WR,Chicago Bears,CHI,810,810,4400,LAC,Chargers,ACT,4400,LAC,Chargers,Los Angeles,Los Angeles Chargers,,,,,#0B162A,NFC,23.0%,15,542,121,70,15,
44,36613,00-0036613,NFL,WAD088683,https://static.www.nfl.com/image/upload/{formatInstructions}/league/pnosct7rrqa4dibiqftv,Jaylen Waddle,Jaylen Waddle,WR,Miami Dolphins,MIA,2700,2700,2700,MIA,Dolphins,ACT,2700,MIA,Dolphins,Miami,Miami Dolphins,,,,,#008E97,AFC,14.6%,15,477,83,58,15,
46,39919,00-0039919,NFL,ODU426541,https://static.www.nfl.com/image/upload/{formatInstructions}/league/yqjdhpsno75du0n72u4w,Rome Odunze,Rome Odunze,WR,Chicago Bears,CHI,810,810,810,CHI,Bears,ACT,810,CHI,Bears,Chicago,Chicago Bears,,,,,#0B162A,NFC,19.2%,17,620,101,54,17,
47,39065,00-0039065,NFL,LAP640235,https://static.www.nfl.com/image/upload/{formatInstructions}/league/qfcy3taaoage00rrl0cc,Sam LaPorta,Sam LaPorta,TE,Detroit Lions,DET,1540,1540,1540,DET,Lions,ACT,1540,DET,Lions,Detroit,Detroit Lions,,,,,#0076B6,NFC,15.9%,16,451,83,60,16,
48,38544,00-0038544,NFL,JOH823261,https://static.www.nfl.com/image/upload/{formatInstructions}/league/bpzdpin1xp1kjxmbkq6d,Quentin Johnston,Quentin Johnston,WR,Los Angeles Chargers,LAC,4400,4400,4400,LAC,Chargers,ACT,4400,LAC,Chargers,Los Angeles,Los Angeles Chargers,,,,,#0080C6,AFC,18.5%,15,398,91,55,15,
49,33908,00-0033908,NFL,KUP534597,https://static.www.nfl.com/image/upload/{formatInstructions}/league/x9j9tudojsexixxu5gsw,Cooper Kupp,Cooper Kupp,WR,Los Angeles Rams,LA,2510,2510,4600,SEA,Seahawks,ACT,4600,SEA,Seahawks,Seattle,Seattle Seahawks,,,,,#003594,NFC,18.5%,12,356,100,67,12,
50,38996,00-0038996,NFL,KRA144054,https://static.www.nfl.com/image/upload/{formatInstructions}/league/yr6nj1zqaqg6nbdnxu3q,Tucker Kraft,Tucker Kraft,TE,Green Bay Packers,GB,1800,1800,1800,GB,Packers,ACT,1800,GB,Packers,Green Bay,Green Bay Packers,,,,,#203731,NFC,15.1%,17,435,70,50,17,
51,38117,00-0038117,NFL,ROB717726,https://static.www.nfl.com/image/upload/{formatInstructions}/league/yzcvyhmilvxedfjfjglc,Wan'Dale Robinson,Wan'Dale Robinson,WR,New York Giants,NYG,3410,3410,3410,NYG,Giants,ACT,3410,NYG,Giants,New York,New York Giants,,,,,#0B2265,NFC,25.3%,17,575,140,93,17,
