player,pos,team_2024,team_2025,type,snaps,age,current_apy,guarantees,team_abbr_24,team_abbr_25
Shaquill Griffin,CB,Vikings,,UFA,0.504,30,4550000,4550000,MIN,NA
Kyle Juszczyk,FB,49ers,49ers,Signed,0.498,34,3750000,3750000,SF,SF
Lorenzo Carter,EDGE,Falcons,Titans,Signed,0.36700000000000005,30,1422500,1422500,ATL,TEN
Josh Reynolds,WR,Jaguars,Jets,Signed,0.29100000000000004,30,2750000,2750000,JAX,NYJ
Will Hernandez,RG,Cardinals,,UFA,0.255,30,4500000,4500000,ARI,NA
Jordan Whitehead,S,Buccaneers,,UFA,0.655,28,4500000,4500000,TB,NA
Joe Flacco,QB,Colts,Browns,Signed,0.43,40,4250000,4250000,IND,CLE
Jarran Reed,IDL,Seahawks,Seahawks,Signed,0.601,33,7333333,7333333,SEA,SEA
Tyrel Dodson,LB,Dolphins,Dolphins,Signed,0.77,27,3125000,3125000,MIA,MIA
Tre'Davious White,CB,Ravens,Bills,Signed,0.36,30,3000000,3000000,BAL,BUF
Devin Duvernay,WR,Jaguars,Bears,Signed,0.184,28,1337500,1337500,JAX,CHI
Ronald Darby,CB,Jaguars,Texans,Signed,0.551,31,2000000,2000000,JAX,HOU
Dane Jackson,CB,Panthers,Bills,Signed,0.23,29,1337500,1337500,CAR,BUF
Raheem Mostert,RB,Dolphins,Raiders,Signed,0.244,33,1600000,1600000,MIA,LV
Jeremy Chinn,S,Commanders,Raiders,Signed,0.943,27,8129000,8129000,WAS,LV
Nate Herbig,RG,Steelers,Commanders,Signed,0,27,1337500,1337500,PIT,WAS
Jamaal Williams,RB,Saints,,SFA,0.272,30,4000000,4000000,NO,NA
Chukwuma Okorafor,RT,Patriots,Jets,Signed,0.011000000000000001,28,1337500,1337500,NE,NYJ
Yosuah Nijman,LT,Panthers,Panthers,Signed,0.18,29,2000000,2000000,CAR,CAR
Zack Moss,RB,Bengals,Bengals,Signed,0.261,28,1700000,1700000,CIN,CIN
Brandon Graham,EDGE,Eagles,,Void,0.297,37,4000000,4000000,PHI,NA
Sebastian Joseph-Day,IDL,Titans,Titans,Signed,0.46,30,6500000,6500000,TEN,TEN
Demarcus Robinson,WR,Rams,49ers,Signed,0.818,31,4000000,4000000,LAR,SF
K.J. Osborn,WR,Commanders,Commanders,Signed,0.228,28,1195000,1195000,WAS,WAS
E.J. Speed,LB,Colts,Texans,Signed,0.8740000000000001,30,3500000,3500000,IND,HOU
Jameis Winston,QB,Browns,Giants,Signed,0.42700000000000005,31,4000000,4000000,CLE,NYG
Kenyon Green,LG,Texans,Eagles,Signed,0.527,24,3988352,3988352,HOU,PHI
Mac Jones,QB,Jaguars,49ers,Signed,0.48100000000000004,27,3500000,3500000,JAX,SF
Durham Smythe,TE,Dolphins,Bears,Signed,0.32,30,2500000,2500000,MIA,CHI
Nick Folk,K,Titans,,UFA,0.201,41,3755000,3755000,TEN,NA
Jalen Reeves-Maybin,LB,Lions,,SFA,0.145,30,3750000,3750000,DET,NA
Patrick Ricard,FB,Ravens,Ravens,Signed,0.392,31,2872500,2872500,BAL,BAL
Matt Prater,K,Cardinals,,UFA,0.08199999999999999,41,3750000,3750000,ARI,NA
Nelson Agholor,WR,Ravens,,UFA,0.37799999999999995,32,3750000,3750000,BAL,NA
Clelin Ferrell,EDGE,Commanders,Commanders,Signed,0.341,28,2000000,2000000,WAS,WAS
Julian Blackmon,S,Colts,,UFA,0.937,27,3700000,3700000,IND,NA
Morgan Fox,IDL,Chargers,Falcons,Signed,0.528,31,2750000,2750000,LAC,ATL
Ashton Dulin,WR,Colts,Colts,Signed,0.16699999999999998,28,3250000,3250000,IND,IND
Kenny Pickett,QB,Eagles,Browns,Trade,0.11599999999999999,27,3516976,3516976,PHI,CLE
Mike Hughes,CB,Falcons,Falcons,Signed,0.647,28,6000000,6000000,ATL,ATL
Greg Gaines,IDL,Buccaneers,Buccaneers,Signed,0.354,29,3500000,3500000,TB,TB
Zack Baun,LB,Eagles,Eagles,Signed,0.897,29,17000000,17000000,PHI,PHI
Elandon Roberts,LB,Steelers,Raiders,Signed,0.43799999999999994,31,3010000,3010000,PIT,LV
Robert Spillane,LB,Raiders,Patriots,Signed,0.982,30,11000000,11000000,LV,NE
Austin Johnson,IDL,Bills,,UFA,0.27699999999999997,31,3500000,3500000,BUF,NA
Kaiir Elam,CB,Bills,Cowboys,Trade,0.276,24,3422703,3422703,BUF,DAL
Dennis Gardeck,EDGE,Cardinals,,UFA,0.19,31,3333333,3333333,ARI,NA
Sione Takitaki,LB,Patriots,,SFA,0.174,30,3322500,3322500,NE,NA
Tress Way,P,Commanders,Commanders,Signed,0.299,35,2872500,2872500,WAS,WAS
Najee Harris,RB,Steelers,Chargers,Signed,0.504,27,5250000,5250000,PIT,LAC
Gus Edwards,RB,Chargers,,SFA,0.209,30,3250000,3250000,LAC,NA
Harrison Bryant,TE,Raiders,Eagles,Signed,0.19,27,1200000,1200000,LV,PHI
Dante Fowler Jr.,EDGE,Commanders,Cowboys,Signed,0.521,31,6000000,6000000,WAS,DAL
Jordan Fuller,S,Panthers,Falcons,Signed,0.47200000000000003,27,1335000,1335000,CAR,ATL
Emmanuel Ogbah,EDGE,Dolphins,Jaguars,Signed,0.6890000000000001,32,0,0,MIA,JAX
Pharaoh Brown,TE,Seahawks,Dolphins,Signed,0.24,31,1355000,1355000,SEA,MIA
Michael Davis,CB,Commanders,,UFA,0.127,30,3200000,3200000,WAS,NA
Jimmy Garoppolo,QB,Rams,Rams,Signed,0.061,34,3005000,3005000,LAR,LAR
Darrell Taylor,EDGE,Bears,Texans,Signed,0.35100000000000003,28,4750000,4750000,CHI,HOU
Payton Turner,EDGE,Saints,Cowboys,Signed,0.284,26,2500000,2500000,NO,DAL
Case Keenum,QB,Texans,Bears,Signed,0,37,2250000,2250000,HOU,CHI
Kristian Fulton,CB,Chargers,Chiefs,Signed,0.695,27,10000000,10000000,LAC,KC
Shaq Thompson,LB,Panthers,,UFA,0.201,31,3105000,3105000,CAR,NA
Damontae Kazee,S,Steelers,,UFA,0.265,32,3000000,3000000,PIT,NA
Solomon Thomas,IDL,Jets,Cowboys,Signed,0.39899999999999997,30,3000000,3000000,NYJ,DAL
Joshua Uche,EDGE,Chiefs,Eagles,Signed,0.225,27,1920000,1920000,KC,PHI
John Cominsky,IDL,Lions,,UFA,0,30,3000000,3000000,DET,NA
Eric Kendricks,LB,Cowboys,,UFA,0.833,33,3000000,3000000,DAL,NA
"Willie Gay, Jr.",LB,Saints,Dolphins,Signed,0.239,27,1337500,1337500,NO,MIA
Coleman Shelton,RG,Bears,Rams,Signed,0.988,30,6000000,6000000,CHI,LAR
Isaac Yiadom,CB,49ers,Saints,Signed,0.455,29,3000000,3000000,SF,NO
Zach Ertz,TE,Commanders,Commanders,Signed,0.6629999999999999,35,6250000,6250000,WAS,WAS
Bryan Anger,P,Cowboys,Cowboys,Signed,0.295,37,3200000,3200000,DAL,DAL
Ben Bredeson,LG,Buccaneers,Buccaneers,Signed,0.988,27,7333333,7333333,TB,TB
M.J. Stewart,S,Texans,Texans,Signed,0.086,30,2500000,2500000,HOU,HOU
D.J. Chark,WR,Chargers,,UFA,0.098,29,3000000,3000000,LAC,NA
Quandre Diggs,S,Titans,,UFA,0.396,32,3000000,3000000,TEN,NA
Austin Hooper,TE,Patriots,Patriots,Signed,0.526,31,5000000,5000000,NE,NE
Michael Hoecht,EDGE,Rams,Bills,Signed,0.573,28,7000000,7000000,LAR,BUF
Eric Stokes,CB,Packers,Raiders,Signed,0.54,26,3500000,3500000,GB,LV
Gregory Rousseau,EDGE,Bills,Bills,Extension,0.6659999999999999,25,20000000,20000000,BUF,BUF
Cedrick Wilson Jr.,WR,Saints,Saints,Signed,0.353,30,1170000,1170000,NO,NO
Emmanuel Moseley,CB,Lions,,UFA,0,29,2875000,2875000,DET,NA
Mason Rudolph,QB,Titans,Steelers,Signed,0.43200000000000005,30,3750000,3750000,TEN,PIT
Jourdan Lewis,CB,Cowboys,Jaguars,Signed,0.79,30,10000000,10000000,DAL,JAX
Cornelius Lucas,LT,Commanders,Browns,Signed,0.402,34,3250000,3250000,WAS,CLE
